actual,Orginal_text,predicted,explanation,is_valid_json
1,"IF YOU HAVE KIDS YOU MUST READ!!!
My husband and I have never been more insulted at a restaurant than tonight at the Hillstone Restaurant (Biltmore).
This is the same restaurant group that includes Bandera and Houston's. 

We deliberately went out early-- at 5pm -- with another couple and our son. He started to fuss on and off during dinner. Mind you the restaurant was already noisy when the GM Miranda Geranios instructed us to leave; other patrons were complaining. That was news to us- and we've seen far worse outbursts in the past from children. Ironically, our son at that moment was playing happily with the other couple when she rudely asserted herself. 

We were in the middle of dinner and to add insult to injury, she didn't even offer to compensate us for a future visit without our little guy. Just go home without dinner and pay the bill. Of course, she herself has no children. 
To ask a repeat customer to leave is absolutely disgusting. We will never visit any of their establishments again and wanted to share our unfortunate experience with our friends who also know the challenges of having a family.",1,"The reviewer was extremely dissatisfied with their experience at Hillstone Restaurant, citing being insulted and requested to leave with their child, who was not causing significant disruption, and not being offered compensation for their trouble.",True
1,"Not good. And it's not been for a couple of years. There are advantages: good location, rarely busy, good for larger groups. But last few times we've been there have experienced average food and lousy service.  When joining my already seated group on Saturday (3/28) the high-school hostess wagged her finger in my face like an East German border guard, the waffle house waitress poked me in the shoulder to get my attention and the wife's chicken dish had to be sent back as there were only 2 measly pieces of chicken in it.  Only 2 beers on tap. Garbage.",1,"Negative experiences with service, food quality, and selection have heavily impacted the reviewer's satisfaction, stating the food and service are 'average' and 'lousy' respectively, with a specific instance of a high school hostess and waitress both demonstrating poor behavior and standards.",True
1,"pretentious and bad service - attendants are totally clueless (though I feel for them if management makes them wear the costumes they wear). overpriced fashion brands.  if you want to spend $200 on a flannel, there are MUCH better options out there.  run in and glance at the sale rack, otherwise avoid this place like the plague.",1,"The reviewer expresses strong dislike for the service, pricing, and overall experience at the store, citing poor staff quality and overpriced merchandise.",True
1,"Cadillac Ranch looked really awesome from the outside, this nice red cadillac out front, nice patio outside, and an enclosed bar and grill patio on the side. Upon entering it was pretty dead, well, it was a Monday afternoon after all.

I ordered the Southwestern Country Fried Steak, huge plate of food that came with your choice of House Salad or Ceaser Salad. I dove into the mashed potatos, which upon their many options of how you want your potatos to taste (garlic, cheese, horshradish, etc), I picked garlic - always go safe at a first time resturaunt! The gravy was very bland, I ended up putting more salt on it. The potatos were the only thing salty and flavored on my plate. They had also put diced garlic in the mix, not roasted, but raw garlic. I love garlic, but I can't eat whole cloves (horrible headaches) like some of those awesome people can out there, so it was kinda a downer there. The two pieces of country fried steak was actually steak, but the very fatty piece of steak that you should never buy, cook, and serve.

Since I came with friends and family, it seemed the only thing they could put flavor in was the deep fried dishes. My mother ordered the Fish and Chips, they were slightly on the dark side, the fish wasn't fishy but slightly bland, the cocktail sauce was the only thing that saved the fish from being totally neglected lol. The fries were really good though! My friend had ordered the same thing, I think she wasn't complaining was because she had ordered mamosa's lol.

Service-wise, it was slow, but don't expect to be waited on asap on a dead Monday.

I think the only thing that tasted good was the Ice Cream Fudge Brownie, but that single dish alone won't help this review get to two stars.

All in all, eat at the other different eateries at Tempe Marketplace, I think Cadillac Ranch would be the last resort place if you can't get in to another popular resturaunt at the time.",1,"The reviewer found multiple issues with their meal, including bland gravy, fatty country fried steak, and poor service, citing the lack of flavor in non-fried dishes as a major concern.",True
1,"After bad experience, I will never return.  It is terrible since they didn't meet my expectation and the price is outrageous.  The most difficult part of the Pho is the broth (req 16 hours of preparation) and it tasted like water.  I had to add all kind of condiments to rescue it but can't even eat it.  The restaurant is very slow now and it confirmed what I meant with Asian restaurant.  If your fellow Asians don't patronize the place, it is  because your food did not meet our expectation.  Try across the street to the Rice plate Kim Thanh for their rice dish.  It is night and day.",1,"The reviewer expresses extreme dissatisfaction with their experience, citing the 'terrible' food, 'outrageous' price, and worst of all, the broth that 'tasted like water'. They explicitly state 'I will never return'.",True
1,Ok I'm very surprised by the reviews on here. I'm not one to want to write negative  reviews but our food was so bad I couldnt help myself. Maybe this place was having an off night tonight but their pizza barely had any cheese on it and the crust was soggy. Unfortunately the pizza was better than the wings that were overly breaded and soggy as well. Thank God we had a groupon and didn't have to pay full price. Won't be ordering from here again. Disappointing :(,1,"The reviewer mentions that the pizza had 'barely any cheese' and a 'soggy' crust, and the wings were 'overly breaded and soggy' as well. This indicates a disappointing and subpar dining experience.",True
1,"Empty tables. Told 15 minute wait. Ok. 5 minutes into wait (by the door, bumping elbows with counter patrons), 2 people at the counter complained they had been there 20 minutes. We left at that point",1,"Lengthy wait time and poor customer management, as evidenced by other patrons being there 15 minutes before us yet we were told a 15-minute wait.",True
1,"Banfield is okay for routine check ups for maintenance and preventive care. That is why they offer a ""wellness plan"". When it comes to your animal getting sick, I would go elsewhere. It should not be called a Hopital. The doctors are there for profit only and do not show any care for your pet. The vet techs care, but the doctors don't listen to them. This place is lacking ethics when it comes down to making important decisions when it comes to your pets health.",2,"The reviewer reports some positive experiences with Banfield for routine care, but expresses significant dissatisfaction with the quality of care and ethics when pets are sick, citing unresponsive doctors and prioritization of profit over patient well-being.",True
1,I love how all other Yelpers reviewing this company have discovered the same issues that would never permit me to use their services again. Company is a disaster and should be reported to the BBB.,1,Permanently damaged reputation and strong recommendation for consumer reporting organizations like the BBB due to multiple discovered issues.,True
1,"just say no.

this place is truly awful. 
too bad it's taking up valuable space on monroe.",1,Explicitly stated harsh criticism with no redeeming qualities.,True
1,"There were 3 cars in the parking lot and people walking to the door but the young lady closed the doors at 9:51pm

The young lady spoke through the glass for atleast 4 minutes explaining she would not open the doors

I live behind this location but I may not return. There is a Walgreens off of 7th Street...",1,"The staff closed the doors early, and the young lady was unhelpful, refusing to open the doors after a lengthy explanation via the glass.",True
1,"How does this restaurant generate so many 4 and 5 star ratings? 

I know it was on the food channel, but honestly the food was sub-par. Maybe it was just an off day, but I have a feeling it wasn't. The prices were not outrageous, but it wasn't cheap either. The atmosphere was nice, if very cafeteria like.

But the food was way way too ""greasy."" And bland. And my stomach now aches after eating there....",1,"The reviewer expresses strong dislike for the food, citing it was 'sub-par', 'greasy', 'bland' and that their stomach ached after eating there.",True
1,"I have so many friends that love this chain, but I'm not a fan. I've eaten at different locations across different states, but always end up sick. I think that I must be allergic to a seasoning that they apply to everything. I've gotten sick from salad, pasta, to steaks. Needless to say, if a friend wants to eat dinner here, it's tea or water only for me.",1,"The reviewer mentions always getting sick after eating at multiple locations of this chain across different states, suggesting a negative experience.",True
1,"There are few resources in Arizona for dancers, actors and performers, so it's best to order online if you have the time to wait for shipping. Dee's Dancewear is overpriced and because they know they are the only game in town, their customer service (and return policies) have suffered.
In an emergency situation, you're better suited going to Mischa's Dancewear on 33rd Ave and Bell or Capezio's in Scottsdale. Otherwise, order online and steer clear of this establishment when possible.",1,"Poor customer service and return policies, along with overpricing, contribute to a strongly negative review experience.",True
1,"I don't think anyone who gave over a 2 has ever eaten Italian food in Chicago. 

I struggled to give 2 stars, but figured the wings were decent .

#1) No celery salt on the Dog
#2) No cucumber on the Dog
#3) WORST OF ALL the GYRO, was not off a spit it was processed
#4) Also, living 30 years in Chicago I have never had a gyro covered in more lettuce than there were onioins. 
#5) Since when does a Gyro (not in Chicago) have Feta Cheese & almost not Tatziki
#6) The PIZZA IS NOT CHICAGO STYLE ITS 100% New York
#7) Wings are a 6 out of 10
#8) THERE IS NO DEEP DISH PIZZA OFFERED OR THICK CRUST???
#9) I apologize they have now gone from 2 to 1 star... 

PLEASE CHANGE YOUR NAME YOU""RE A DISGRACE TO CHICAGO!!!

Don't think I will give this place another shot no reason",1,"Reviewer expresses extreme dissatisfaction with multiple aspects of the restaurant, including authenticity of menu items, composition of dishes, and lack of regional specialties, ultimately concluding 'I apologize they have now gone from 2 to 1 star...'",True
1,"As you walk in you are greeted by a sign that says Cash Only ATM inside alright times are tough I get it.  Then you see the special board which read ""Good Food Takes Time"" and there is a clock next to that.  Fine that's cool but the problem is that after waiting for our ""good food"" it came out and was awful.  My wife said she has tasted better pancakes out of the freezer section at the grocery store.  $30 later we boxed up the food only to throw it away.  The good news is that we went around the corner to the Breakfast Club and had an excellent meal.",1,"The reviewer had a poor experience with the quality of food, citing that the pancakes tasted worse than a packaged version from the grocery store, and ultimately decided to throw the food away.",True
1,"I enjoy falafels and my boyfriend really likes Gyros.  So, when we received a coupon for Daphne's Greek Café we were jazzed to go check it out.

What I noticed right away is it has kind of a fast-food sort of feel to it and I thought, OK, its catering to people on their lunch breaks.  However, the food itself is like Greek fast food for people who have never had anywhere near really Greek food before and so they wouldn't know any better.

The plates are astatically pleasing with everything arranged nice and neat.  This amounted to zilch to me.  When I got to eat, I want plenty of food and I want quality as appropriately expected from the type of establishment I am eating at.  

At Daphne's you get a few little thin slices of what may or may not be real gyro meat.  The falafel meat is little over fried disks.  That's right disks.  Not balls of falafel meat where the outside is slightly crunchy and the inside is meaty and moist.  The pita bread is not.  It's just some flat bread cut into little triangles.  The tzatziki sauce is ... what the heck is this stuff in this little 1 inch paper cup?  The vegetables were fresh.

There is more to complain about with this place, but you get the picture.  I'm thinking that anyone who likes it here just doesn't know what real Greek food is like.",2,"The reviewer found the food quality to be subpar, describing the gyro meat as 'a few little thin slices' and the falafel as 'over fried disks', and felt that the pita bread and tzatziki sauce were also lacking.",True
1,Completely shady.  Towed our U-haul as we were moving in to our new Apartment Complex.  Completely unethical and total crooks.  AVOID AT ALL COSTS!,1,"The reviewer describes the company's actions as 'completely shady', 'unethical', and 'total crooks', indicating a strongly negative experience with explicit warnings to others.",True
1,"This place is awful.  I bring my fourteen year old daughter along for services once in awhile, and on two occasions here they managed to seat me and skip her for other clients that did not have appointments.  They wont accept a tip from your debit/credit card which is pretty inconvenient if you don't carry cash.  They use a cheap base coat in an unmarked bottle that leaves my polish job looking funky. My mother was a loyal client until she got an infection in her toe after a visit.  I don't like to write bad reviews but this place does not deserve your business.",1,"Multiple instances of poor service, inconvenient payment policy, and subpar product quality led to a highly negative review.",True
1,"I guess this is an east coast/midwest thing because I really don't get it. I'm not a picky eater and I HATE wasting food and money, but I could not finish my plate. I ordered french toast and I was not aware that my french toast was going to be deep fried. Seriously, when I put my fork through it, a piece of fried toast hit me in the eye. My husband was also not impressed with his food. If someone would like to suggest something delicious on the menu that I should try, please let me know because I currently want to vomit every time I see a Chompie's.",1,"The reviewer was extremely dissatisfied with their experience, citing confusing menu options and unpleasant surprises with their dish (deep-fried French toast).",True
1,veerrrrrryyyyyyyyy dirty. I think I will buy them some clorox wipes and light bulbs for their sign out front. I made 12 u-turns trying to find this place.,1,The reviewer expresses strong frustration and disappointment with their experience finding and locating the business.,True
1,"Love the idea - vegan Mexican. Have tried to eat there twice. Both times checked their FB page for hours, both times they were closed. Called their phone number, no one answered. No sign, no explanation on FB. Pathetic.",1,"Unreliable business practices, including unannounced closures and unresponsive communication",True
1,Ok food. Super slow!! 3 employees and 2 customers and I could not believe how long it took for a quesadlla which was cold when I got it...the tacos were decent though....Give it a try and you decide though..,2,"The reviewer experienced slow service, a long wait for food, and received a cold quesadilla, but found the tacos to be decent, indicating a mediocre overall experience.",True
1,"I wish I could give this location a big fat ZERO.

But you can't.  But I can let everyone know how horrible it is.

For starters, their automatic doors do not even work.  I just find that appalling.  How can your doors not work on your store?  How are people supposed to get in there to shop.

The manager of this location is nothing more than a jerk.  I asked for help and all I received was attitude.

For a struggling supermarket that filed for bankruptcy, I would think service would be one thing you could promote at no cost.  But, not here.

I don't think it will be long before this location closes.  RIP!",1,"The reviewer expresses strong dissatisfaction with the store's automatic doors, the manager's attitude, and the overall service. These complaints suggest a poor shopping experience.",True
1,"the owner was dishonest, she posted a menu outside with lower pricing to attarct traffic, and then charge higher pricing menu inside. she also charge me 12% sales tax, which is illegal in tempe, which suppose to be only 9.3% very rude manner, not recommended",1,"The owner was dishonest about pricing, incorrectly charged sales tax, and had a rude manner, leading to a severe negative experience.",True
1,"Man oh man... I can't decide whether I want to review this place or not under the auspices of ""if you don't have anything nice to say...""

All I have to say is this: 

We ordered food. It came totally wrong. I asked for a vegan salad, not specifically, but that's how I ordered it, and it came with chicken and cheese. This just shows a complete inability to read the order. People make adjustments all the time. I have worked at a restaurant. I have fucked up. I should have been lashed 40 times! Read what people order! 

So when I got the wrong salad and saw what an unbelievable disappointment it was going to be, I ordered a veggie sandwich instead, which, to their credit, they delivered and took off the bill. 

The best customer service in the world could not overcome this sandwich. It was a monumental fucking embarrassment. I cannot believe they let that thing out the door. I ate it because I was starving but I would have liked to have driven it back there and go through it, ingredient by ingredient, with the preparer... Explain to me how this is appealing to the eyes, mouth, stomach, etc.

I just hated it. A lot. 

Sorry, I'm sure you're nice people with good intentions.",1,"The reviewer describes the food as a 'monumental fucking embarrassment' and states that the customer service, although good, couldn't overcome the poor food quality. They specifically mention the disappointment of receiving a non-vegan salad and the unsatisfactory veggie sandwich they were served instead.",True
1,"Bad music, slow service, disgusting overpriced drinks, and annoying patrons.  Definitely wouldn't come back if someone paid me to. I can't even drink this margarita.",1,"Poor experience with music, service, and drinks, and the overall tone suggests strong dislike, warranting a low rating.",True
1,"One stop has one goal and that is to get the $80. diagnosis fee and split.  Francisco told me i needed to spend over $1300. for parts the manufacturer only charges $316 for. Stay away! I intend to file a complaint with the Attorney Generals office today, hopefully they will stop this nonsense.",1,Outrageous pricing practices and unfair business tactics have led to a very negative experience.,True
2,"Got together with Mike C. to go out to a Thanksgiving Buffet today.  We tried for Golden Corral down the street in Gilbert but the line was way outside, so we came up here where there was also a wait, but shorter.  It was good, as always, but there were some negatives this time:

*  The soups:  There was an ordinary Corn Chowder, a weak Cream of Broccoli, & ordinary Chicken Noodle.  They should have done better than this for Thanksgiving.

*  There was no cottage cheese.  (They don't always have it, but at these prices they should have some today.)

*  There was turkey, but breast meat only & no dressing!

*  Over at the dessert bar there was no hot fudge (& it looked not as if it had run out, but rather that they just didn't offer any today).

*  There were no sundae cups.  I had to go over & get a soup bowl to make a sundae.

*  There was Hot Lava Cake (or ""Hot Fudge Cake"" I think they call it here), but it was sorely lacking in lava!

Thus, it's down to 2 Stars for this restaurant that wasn't as good as it should have been for the money.

Thanksgiving Buffet $12.99/$12.49 Sr.",2,"The soups were unimpressive, and the buffet was missing items such as cottage cheese, hot fudge, sundae cups, and the traditional dressing, despite being at a higher price point than usual for a Thanksgiving buffet.",True
2,"Well...I wouldn't get the dragon lady roll again but the shumai were good, and the rainbow roll was good.  Too many mayo/cream cheese rolls on that menu. Not even busy on a Sunday night with the BCS game in town.  Nice atmosphere.",3,"The reviewer enjoyed some of the dishes (shumai and rainbow roll), but was disappointed with others (dragon lady roll) and felt a lack of variety in the menu. They also mentioned a nice atmosphere, but this isn't enough to boost the rating.",True
2,"If you have $6 burning a hole in your pocket, and would like a thimble full of ice cream, this is your place. They have a terrific selection of flavors, and you can sample as many as you want before choosing, not to mention they are part of a coffee shop too. Unfortunately, they charge you a thousand dollars for a scoop of it. I'd rather go to Mary Coyle and get a Banana Split for that price, or just save my money because the idea of paying $6 for a scoop of ice cream is absolutely a fool parting with his money.

Two stars because it actually was tasty.",2,"The reviewer mentions a 'terrific selection of flavors' and that the ice cream is 'actually [was] tasty', but strongly dislikes the pricing, feeling it's an extremely poor value proposition",True
2,"I went to NOCA about a month after is opened and was wowed. I told all my fellow foodies about my wonderful experience, the innovative menu and all the little extras that made the meal a really special dining experience in Phoenix. 
I went back with friends twice after in the coming months and was pleased each time. 
I just went back this past Saturday though, and would have to say I would no longer suggest it for a special night out. It was as if the magic was gone and that the place was showing its age and loosing its ""specialness"". It was really just ok. The chef's talent shows, but too many other let downs. 
When we arrived for our 8:30 reservation the place was crowded. The host was friendly and told us that our table would be ready soon and it was. We sat down at our table and that's when things started turning out not as well as expected. Seated in a back corner--which I did not mind---I noticed the walls were filthy---scratched and beat up and dirty. That was my view, so of course its all I could focus on. The waiter did not show up for 5 min. to take our drink order, and when he did it took 20 min. to get them to us. He apologized, but at 8:45 on a Saturday night that waiting for a first drink is not fun. 
When then settled down with our menus and picked our choices. It was then we were told that they were out of the veal --which of course 2 of us had chosen by then, and that there was only one Skate dish--which of course the other 2 of us had decided on. They were also out of 3 other items. I felt I was back in the old Eleve (located in this same spot)--the food was great there as well---when they did not run out of many items on the menu. They may be ok when you have a larger menu, but with a small menu to begin with this is a real disappointment. 
Gone were the pop rocks that I thought was so fun as an intermezzo, instead a spoon of something that was not described was set down in front of us. A simple salad--good--was $15---and most starters are at least that much. Good, but not worth the price. Otherwise, entrees were good--not special, but tasty and served with good presentation. The cotton candy is still there--and still an attention getter. And I still love the desert selections---especially the malt that I had with mini doughnuts in with dipping sauces. 
I think I am able to overlook the fact that its really not an attractive room--the energy from the kitchen and the close tables add noise and excitement to the room, but the art and lighting is ugly and now that its starting to look run down as well--there are too many new, beautiful places in the city with equally good food and equally as pricey that are not in strip mall. And they usually still have most menu selections on a Saturday night.",2,"Service was slow and inconsistent, kitchen ran out of several menu items, and some presentation and details were disappointing, but food was still generally good and some desserts were enjoyed.",True
2,"This review is for the chain in general. The location we went to is new so it isn't in Yelp yet. Once it is I will put this review there as well. We were there on Friday at 5 PM. 

The reason I gave it 2 stars is because the burger was very good and it was made the way I asked for it. My husbands burger was not.

But, the server and the fries left a lot to be desired. Let me preface by saying that we had been to several other locations. I like my fries crispy. I ask for them well done, extra crispy, scorched, tortured hollow tubes. Whatever their buzz word is for well done. The location will comply. EVERY OTHER 5 GUYS HAS COMPLIED. But not the one at TATUM AND SHEA. She said that corporate said they are not to cook the fries that way. So if we were to put up with soggy fries - yes soggy, then we did not want them. 

She also interrupted us several times which is rude. THEN she went and called corporate just to double check for us and she came to the table and said they said no they were not to cook them that way. Seriously? We did not ask for her to do this. She actually accused us of being undercover shoppers. We started to say something and then again- she interupted.

Listen, if you explain that our choice is not how the company wishes to present their product and we still choose to have them a different way, you should comply. It is after all our money and our decision. I was raised with the rules that #1 the customer is always right. And #2 if the customer is wrong REFER TO RULE NUMBER 1!!

We will not return. They have lost our business and I hope she loses her job.
If you want to try a really good burger AND FRIES place- go to Paradise Valley Burger Company at 40th Street and Bell. You will not be disappointed.",2,"The customer had a mixed experience, enjoying the good burger but being disappointed with the crispy fries not being prepared as requested due to a claimed corporate policy and poor service from the server, including interruption and accusatory behavior.",True
2,"Okay now this is a large chain and on average it's okay to good!  and I have been to this place many, many times, but I have to say the last time I went there for the happy hour hot wings (they were dry, over cooked) then I had ordered a steak and seafood combo (Cajun) something but after my second brew I thought it was me, so I had the wife and my son taste it man was it salty!!!!  It tasted like they dropped the salt shaker in the food, but my waitress assured me that could not have happened ""because all there sauces come in bags and are pre-made"" (Gross, that did it for me) I  was outta there with the quickness...",2,"The reviewer had mixed experiences with the restaurant, but the last visit was severely negatively impacted by dry, overcooked hot wings and a salty steak and seafood combo that seemed to have been inadequately seasoned, leading to a loss of trust in the kitchen's attention to detail.",True
2,"The fry bread in itself was great, it is just what goes inside it is not that great. I have been wanting to come here for a long time since I have heard so much about it. I got a bean and cheese fry bread and the beans came half smashed with whole pinto beans in it, which I can't stand. The beans are not very flavorful when they are whole. The cheese was a thick shred which didn't melt and it was altogether disappointing. 

My partner got the fry bread with ground beef which he said was not flavorful at all. It was like they just cooked the beef with no flavoring at all. Maybe they were having a really off night? Yelp, why have you been betraying me lately? I keep going to these great reviewed places and they suck.",2,"The reviewer enjoyed the fry bread itself, but was disappointed with the fillings (bean and cheese, and ground beef), finding the flavors unimpressive.",True
2,"The food wasn't that good but that wasn't my main issue. It was the unwelcoming feeling I experienced. I will not be returning. The owner was friendly with everyone in the restaurant except my boyfriend and I. He would go table to table and talk to people and greet new customers and would acknowledge them when they left. The only acknowledgement I was received was an uncomfortable feeling of him staring at me when I wasn't looking, I'm assuming due to my abundance of tattoos. I felt judged and will not recommend this place to my friends or will never return.",1,"The reviewer felt unwelcomed by the owner, who stared uncomfortably, making them feel judged and leading to a decision not to return.",True
2,Not exactly what I would call a great place to eat. If you want to take your teenager out for a shake or ice cream you may enjoy it :),2,"The reviewer suggests it's an adequate spot for a casual outing with a teenager for a sweet treat, but it's not their preference for a full dining experience.",True
2,"Bleh! 

I've heard good things about this place from my sister's friends (notice, I didn't say ""my"" friends) and I've always been curious.  Errand days are kinda ho-hum anyway, so I was excited to finally check this place out.  The reason I order a doughnut that is stripped off glaze and topping is that I'd  like to taste the actual product. 

Two doughnuts for my little guy and me for $1.60.  As the girl handed me the paper bag I was extra careful handling it for nothing.  Cold doughnuts?  Am I just so used to piping hot beignets?    Right off the first bite, I could feel the cheap hydrogenated oils coating the roof of my mouth.  Then the second bite, the feeling is now in my throat.  Eeek!  I asked my son what he thought.  ""It's okay,""  he stared at the doughnut and looked up at me.  I grab his doughnut and along with mine threw both in the paper bag it came with and chucked it.   Honestly, it would have been better to fry these sinful things in lard.  There is something about chemically laden food that I despise most!

Would I give it a second chance?  Not until they change their frying oil!

Sorry, Bosa.  One star is for the nice service and the other star is for being a local chain.",2,"The reviewer found the doughnuts to be of poor quality, mentioning feelings of cheap hydrogenated oils in their mouth and throat, but appreciated the nice service and the fact that it's a local chain.",True
